period_end,Revenue,OperatingIncome,CostOfRevenue,Operating_Margin,price_at_period_end,shares_outstanding,market_cap,KBrand,Opex_Ratio,Selected_Margin,Benchmark_Margin,s_baseline_value,S_Surplus,s_total,V_Prod_base,K_Pi_prime,E_star,E_0,E_1,E_2,E_3,K_Pi_prime_lag,R_t,T_t,dK_Pi_prime,dK_Pi_prime_pct,PDI_t,PGR_t,Gate_C1,Gate_C2,Gate_C3,Speculative_Regime,Ticker,Raw_Configuration,Configuration,Regime,Phase
2009-09-30,12920000000,4482000000.0,2842000000.0,0.3469040247678018,19.09332275390625,,,2519400000.0,0,0.3469040247678018,,4481999999.999999,0.0,4481999999.999999,8438000000.000001,,,0.5311685233467645,0.0,0.298577862052619,,,0.0,inf,,,0.0,,False,False,False,False,MSFT,N/A,Normal,Normal_Regime,Normal_Production
2009-12-31,19022000000,8513000000.0,3628000000.0,0.4475344338134791,22.726938247680664,,,3709290000.0,0,0.4475344338134791,,8513000000.0,0.0,8513000000.0,10509000000.0,,,0.8100675611380721,0.0,0.352963174421924,,,0.0,inf,,,0.0,0.2454373074188194,False,False,False,False,MSFT,N/A,Normal,Normal_Regime,Normal_Production
2010-03-31,14503000000,5173000000.0,2755000000.0,0.3566848238295525,21.941755294799805,,,2828085000.0,0,0.3566848238295525,,5173000000.0,0.0,5173000000.0,9329999999.999998,,,0.5544480171489818,0.0,0.3031173633440515,,,0.0,inf,,,0.0,-0.1121895518127321,False,False,False,False,MSFT,N/A,Normal,Normal_Regime,Normal_Production
2010-06-30,16039000000,,,,17.315053939819336,,,3127605000.0,0,,,,0.0,,,,,,,,,,0.0,inf,,,0.0,,False,False,False,False,MSFT,N/A,Normal,Normal_Regime,Normal_Production
2010-09-30,16195000000,7116000000.0,3139000000.0,0.4393948749614078,18.527063369750977,,,3158025000.0,0,0.4393948749614078,,7115999999.999999,0.0,7115999999.999999,9079000000.0,,,0.7837867606564598,0.0,0.3478384183280097,,,0.0,inf,,,0.0,,False,False,False,False,MSFT,N/A,Normal,Normal_Regime,Normal_Production
2010-12-31,19953000000,8165000000.0,4833000000.0,0.4092116473713226,21.24407386779785,,,3890835000.0,0,0.4092116473713226,,8165000000.0,0.0,8165000000.0,11788000000.000002,,,0.6926535459789616,0.0,0.3300674414658974,,,0.0,inf,,,0.0,0.2983808789514266,False,False,False,False,MSFT,N/A,Normal,Normal_Regime,Normal_Production
2011-03-31,16428000000,5709000000.0,3897000000.0,0.3475164353542732,19.4401798248291,,,3203460000.0,0,0.3475164353542732,,5709000000.0,0.0,5709000000.0,10719000000.0,,,0.5326056535124545,0.0,0.2988581024349286,,,0.0,inf,,,0.0,-0.0906854428232102,False,False,False,False,MSFT,N/A,Normal,Normal_Regime,Normal_Production
2011-06-30,17367000000,,,,20.0377140045166,,,3386565000.0,0,,,,0.0,,,,,,,,,,0.0,inf,,,0.0,,False,False,False,False,MSFT,N/A,Normal,Normal_Regime,Normal_Production
2011-09-30,17372000000,7203000000.0,3777000000.0,0.4146327423440018,19.303335189819336,,,3387540000.0,0,0.4146327423440018,,7203000000.0,0.0,7203000000.0,10169000000.0,,,0.7083292359130692,0.0,0.3331242010030484,,,0.0,inf,,,0.0,,False,False,False,False,MSFT,N/A,Normal,Normal_Regime,Normal_Production
2011-12-31,20885000000,7994000000.0,5638000000.0,0.3827627483840076,20.28477478027344,,,4072575000.0,0,0.3827627483840076,,7993999999.999998,0.0,7993999999.999998,12891000000.000002,,,0.6201225661314093,0.0,0.3159239003956248,,,0.0,inf,,,0.0,0.2676762710197662,False,False,False,False,MSFT,N/A,Normal,Normal_Regime,Normal_Production
